MAG_ID	replicates_per_group_UC	replicates_per_group_control	paired_replicates_per_group_UC	paired_replicates_per_group_control	unpaired_test_eligible	paired_test_eligible	single_sample_eligible_UC	single_sample_eligible_control
MGYG000000187	2.0	6.0	0.0	0.0	False	False	False	True
MGYG000000194	3.0	1.0	0.0	0.0	False	False	False	False
MGYG000000195	5.0	6.0	0.0	0.0	True	False	True	True
MGYG000000196	9.0	10.0	0.0	0.0	True	False	True	True
MGYG000000205	5.0	3.0	0.0	0.0	False	False	True	False
MGYG000000208	3.0	4.0	0.0	0.0	False	False	False	True
MGYG000000209	1.0	3.0	0.0	0.0	False	False	False	False
MGYG000000211	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000000217	3.0	7.0	0.0	0.0	False	False	False	True
MGYG000000233	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000000242	1.0	4.0	0.0	0.0	False	False	False	True
MGYG000000243	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000000245	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000249	4.0	3.0	0.0	0.0	False	False	True	False
MGYG000000251	7.0	8.0	0.0	0.0	True	False	True	True
MGYG000000254	2.0	9.0	0.0	0.0	False	False	False	True
MGYG000000255	2.0	2.0	0.0	0.0	False	False	False	False
MGYG000000258	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000000262	2.0	4.0	0.0	0.0	False	False	False	True
MGYG000000265	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000000271	5.0	5.0	0.0	0.0	True	False	True	True
MGYG000000280	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000344	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000370	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000404	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000000418	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000512	7.0	9.0	0.0	0.0	True	False	True	True
MGYG000000589	3.0	5.0	0.0	0.0	False	False	False	True
MGYG000000644	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000651	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000723	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000743	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000837	1.0	4.0	0.0	0.0	False	False	False	True
MGYG000000876	5.0	9.0	0.0	0.0	True	False	True	True
MGYG000000917	2.0	1.0	0.0	0.0	False	False	False	False
MGYG000001057	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000001246	4.0	2.0	0.0	0.0	False	False	True	False
MGYG000001255	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000001294	7.0	6.0	0.0	0.0	True	False	True	True
MGYG000001310	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000001313	1.0	4.0	0.0	0.0	False	False	False	True
MGYG000001315	4.0	4.0	0.0	0.0	True	False	True	True
MGYG000001337	5.0	2.0	0.0	0.0	False	False	True	False
MGYG000001338	4.0	5.0	0.0	0.0	True	False	True	True
MGYG000001345	9.0	10.0	0.0	0.0	True	False	True	True
MGYG000001346	8.0	9.0	0.0	0.0	True	False	True	True
MGYG000001356	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000001359	5.0	3.0	0.0	0.0	False	False	True	False
MGYG000001374	2.0	1.0	0.0	0.0	False	False	False	False
MGYG000001378	9.0	10.0	0.0	0.0	True	False	True	True
MGYG000001380	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000001410	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000001429	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000001489	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000001493	3.0	1.0	0.0	0.0	False	False	False	False
